2025-03-05 21:55:31,868 INFO    MainThread:4128219 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_setup.py:_flush():67] Configure stats pid to 4128219
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_setup.py:_flush():67] Loading settings from /speech/utkarsh/.config/wandb/settings
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_setup.py:_flush():67] Loading settings from /speech/utkarsh/da6401_assignment1/wandb/settings
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /speech/utkarsh/da6401_assignment1/wandb/run-20250305_215531-kqve0pz5/logs/debug.log
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /speech/utkarsh/da6401_assignment1/wandb/run-20250305_215531-kqve0pz5/logs/debug-internal.log
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_init.py:init():761] calling init triggers
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_init.py:init():784] starting backend
2025-03-05 21:55:31,869 INFO    MainThread:4128219 [wandb_init.py:init():788] sending inform_init request
2025-03-05 21:55:31,872 INFO    MainThread:4128219 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-05 21:55:31,873 INFO    MainThread:4128219 [wandb_init.py:init():798] backend started and connected
2025-03-05 21:55:31,875 INFO    MainThread:4128219 [wandb_init.py:init():891] updated telemetry
2025-03-05 21:55:31,881 INFO    MainThread:4128219 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-05 21:55:32,573 INFO    MainThread:4128219 [wandb_init.py:init():990] starting run threads in backend
2025-03-05 21:55:32,706 INFO    MainThread:4128219 [wandb_run.py:_console_start():2375] atexit reg
2025-03-05 21:55:32,706 INFO    MainThread:4128219 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-05 21:55:32,707 INFO    MainThread:4128219 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-05 21:55:32,707 INFO    MainThread:4128219 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-05 21:55:32,711 INFO    MainThread:4128219 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-05 21:55:36,094 INFO    MsgRouterThr:4128219 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
